Depth (ft)	Density (g/cc)	t_compressional (micros/ft)	t_shear (micros/ft)
5741.5	2.5056	79.9424	124.7561
5742	2.4838	78.4099	123.5189
5742.5	2.5106	76.6178	122.6995
5743	2.5191	76.4425	122.3887
5743.5	2.5303	76.824	122.9912
5744	2.5736	77.1387	124.0286
5744.5	2.612	81.2044	125.5133
5745	2.4929	81.8944	127.4459
5745.5	2.4968	84.3786	128.137
5746	2.4676	84.7383	129.7151
5746.5	2.4814	84.6671	130.5924
5747	2.4845	84.7441	130.8311
5747.5	2.4911	84.3399	129.7342
5748	2.4733	84.2929	128.6469
5748.5	2.467	84.6786	127.9453
5749	2.4656	84.6649	128.2839
5749.5	2.4831	85.0521	127.7987
5750	2.4555	84.7769	128.102
5750.5	2.4523	84.1525	127.8207
5751	2.453	83.8226	126.9895
5751.5	2.4695	81.9451	125.6743
5752	2.4773	80.5226	124.5869
5752.5	2.6019	80.3296	123.9797
5753	2.5742	80.3091	122.5424
5753.5	2.4784	80.6531	122.3036
5754	2.4578	81.1927	122.6293
5754.5	2.4259	81.3126	122.1949
5755	2.4164	81.3578	124.3173
5755.5	2.3984	82.2492	124.0584
5756	2.3972	81.5036	123.6091
5756.5	2.4177	81.5934	124.2324
5757	2.4367	80.6856	123.0698
5757.5	2.4146	80.6448	123.9408
5758	2.4397	80.669	123.3357
5758.5	2.431	81.1281	122.5391
5759	2.4553	81.3456	124.3381
5759.5	2.462	82.2921	125.8278
5760	2.4642	83.4313	125.1923
5760.5	2.4251	84.0321	126.4138
5761	2.4542	84.5431	126.9292
5761.5	2.4212	85.5687	127.1085
5762	2.4301	85.9272	126.8257
5762.5	2.3991	85.9163	126.8872
5763	2.4139	84.2442	123.5915
5763.5	2.4592	82.3108	126.0601
5764	2.4276	80.8418	125.7098
5764.5	2.4187	79.9642	124.7833
5765	2.4622	79.0074	122.134
5765.5	2.4613	78.8132	122.2089
5766	2.5013	77.8864	122.7318
5766.5	2.4818	78.6606	123.2711
5767	2.5134	79.1586	116.4044
5767.5	2.5221	79.1366	120.6934
5768	2.5194	79.6095	122.6097
5768.5	2.5348	80.1305	122.8003
5769	2.4946	80.8544	123.0372
5769.5	2.4739	81.9706	123.16
5770	2.4629	82.4388	124.9727
5770.5	2.4484	83.3118	123.0193
5771	2.4609	83.074	121.7966
5771.5	2.4527	80.6752	122.715
5772	2.463	79.8062	121.1136
5772.5	2.4775	79.837	121.068
5773	2.4895	80.4285	122.0678
5773.5	2.5849	81.7072	121.9891
5774	2.6149	83.0596	124.1
5774.5	2.4008	83.5294	123.0214
5775	2.3969	82.0849	120.5371
5775.5	2.3995	79.9832	122.5498
5776	2.3973	78.2707	121.0776
5776.5	2.42	77.3959	117.6757
5777	2.5581	77.4137	115.8912
5777.5	2.7055	78.6138	116.768
5778	2.4762	81.5622	121.3675
5778.5	2.5025	83.8273	123.3325
5779	2.4562	84.2481	121.5657
5779.5	2.4412	84.4404	124.4378
5780	2.4335	83.3135	125.6869
5780.5	2.4604	82.3178	125.3393
5781	2.4707	81.8363	123.0981
5781.5	2.4861	82.2988	124.3624
5782	2.4654	82.5183	124.229
5782.5	2.4408	83.9683	125.5137
5783	2.4306	84.9444	125.2814
5783.5	2.4251	85.6143	126.0131
5784	2.4658	84.9706	126.921
5784.5	2.4616	84.3101	126.8485
5785	2.4838	83.6744	125.6502
5785.5	2.4915	82.9335	124.5955
5786	2.4444	82.9428	124.9937
5786.5	2.497	83.257	124.9938
5787	2.4807	83.5428	125.6115
5787.5	2.4793	83.7932	125.4423
5788	2.4579	83.3394	125.1823
5788.5	2.4359	83.5894	125.4647
5789	2.4462	82.7225	124.3202
5789.5	2.4502	81.5738	120.9421
5790	2.4324	81.4765	118.644
5790.5	2.4378	80.7467	121.2718
5791	2.4653	80.5431	121.5218
5791.5	2.4752	80.2575	119.6747
5792	2.4529	80.309	114.0635
5792.5	2.5087	80.6502	115.2964
5793	2.4881	80.4975	117.0616
5793.5	2.4531	80.2386	114.6356
5794	2.475	80.3238	114.1325
5794.5	2.4625	80.5505	113.4139
5795	2.4691	79.862	113.4942
5795.5	2.4909	79.9064	114.131
5796	2.4888	79.9669	114.7681
5796.5	2.5098	79.9326	112.4237
5797	2.4775	80.1025	116.087
5797.5	2.4708	80.1269	113.1366
5798	2.4912	80.478	120.6351
5798.5	2.4936	80.7119	114.1307
5799	2.4743	81.6049	115.2099
5799.5	2.4897	82.2719	121.7226
5800	2.5195	83.4715	121.5447
5800.5	2.4957	83.9167	121.206
5801	2.4598	84.325	121.4958
5801.5	2.5057	84.8313	122.6272
5802	2.4962	85.1434	123.0896
5802.5	2.4971	85.6949	124.39
5803	2.477	85.8582	124.1036
5803.5	2.4656	85.816	127.3184
5804	2.4838	85.7251	126.1312
5804.5	2.471	85.347	124.6059
5805	2.4886	84.6808	125.9585
5805.5	2.4861	84.4231	126.8281
5806	2.5197	83.6227	125.2806
5806.5	2.5182	81.9688	124.941
5807	2.515	81.8883	124.7841
5807.5	2.5235	82.4147	127.2824
5808	2.5602	83.0591	129.9433
5808.5	2.616	82.2371	126.6451
5809	2.5466	82.0502	125.7692
5809.5	2.5157	82.7048	128.145
5810	2.551	82.082	126.8328
5810.5	2.5736	81.0522	127.9058
5811	2.6311	81.5285	122.7786
5811.5	2.5014	83.1459	124.7937
5812	2.5172	84.3982	124.3692
5812.5	2.539	84.5604	127.1005
5813	2.5247	85.4958	128.1455
5813.5	2.488	85.2657	128.1455
5814	2.4866	85.6671	130.8205
5814.5	2.4996	85.7527	131.5379
5815	2.5117	86.0286	128.0494
5815.5	2.5262	86.3232	132.1273
5816	2.5317	87.091	131.8754
5816.5	2.5287	88.2734	132.9064
5817	2.5205	88.7386	133.9962
5817.5	2.5118	89.057	134.2759
5818	2.4634	88.4834	134.7083
5818.5	2.4878	87.6441	133.8383
5819	2.4903	87.046	133.7945
5819.5	2.5318	86.062	133.4015
5820	2.5154	85.1143	130.4034
5820.5	2.4594	83.971	128.5321
5821	2.4924	84.1451	126.8922
5821.5	2.4494	83.7596	125.9124
5822	2.4792	83.9862	124.5133
5822.5	2.4678	83.9847	125.1303
5823	2.4262	83.4823	125.337
5823.5	2.4349	83.198	124.4652
5824	2.4183	82.8109	124.462
5824.5	2.4377	82.8036	124.424
5825	2.4339	83.2975	125.6998
5825.5	2.4725	83.5702	124.9233
5826	2.4397	83.6878	126.2469
5826.5	2.4543	84.1346	123.3736
5827	2.4797	84.6242	120.8127
5827.5	2.4375	84.2627	126.6557
5828	2.4151	83.5035	125.6043
5828.5	2.4482	83.368	126.0236
5829	2.4243	83.5601	126.8357
5829.5	2.4777	83.4257	126.6195
5830	2.4922	83.4078	126.0124
5830.5	2.5057	83.3373	126.1762
5831	2.4689	83.6781	128.3156
5831.5	2.4822	84.2587	127.8825
5832	2.4798	84.1687	129.8275
5832.5	2.4822	84.2967	131.4624
5833	2.4883	84.1752	131.8314
5833.5	2.466	83.758	132.0697
5834	2.5332	84.1176	132.1243
5834.5	2.4984	84.0455	131.3737
5835	2.4959	84.1081	133.7087
5835.5	2.4683	85.065	135.1214
5836	2.4836	85.0758	133.964
5836.5	2.4869	84.6912	133.4425
5837	2.4401	84.1627	133.4179
5837.5	2.4402	82.7684	130.2077
5838	2.5137	82.4856	130.1926
5838.5	2.5522	82.1498	132.522
5839	2.5291	82.8679	132.3399
5839.5	2.4725	83.4953	133.8889
5840	2.4633	83.8309	134.2143
5840.5	2.4669	84.1316	144.968
5841	2.4717	84.2992	145.7241
5841.5	2.4565	83.6617	145.9456
5842	2.4681	82.149	144.313
5842.5	2.5038	80.5233	130.9942
5843	2.4269	80.0039	127.2731
5843.5	2.4251	79.7283	124.6356
5844	2.4743	79.535	120.9051
5844.5	2.5166	80.164	120.9779
5845	2.5223	82.7995	123.7669
5845.5	2.4897	84.152	124.6766
5846	2.439	85.2988	125.4739
5846.5	2.4799	85.956	133.1327
5847	2.5421	86.4868	133.7524
5847.5	2.4989	86.3343	133.3499
5848	2.4915	86.508	134.8651
5848.5	2.4881	86.2372	134.0712
5849	2.4695	86.2406	139.8916
5849.5	2.4638	84.9496	136.6826
5850	2.4812	83.8212	137.9543
5850.5	2.4618	83.1171	137.7527
5851	2.4744	82.5631	141.379
5851.5	2.5024	83.237	142.1276
5852	2.582	82.8529	147.684
5852.5	2.6514	85.0426	150.1197
5853	2.5488	86.1536	155.2795
5853.5	2.5221	87.2461	159.7369
5854	2.5046	87.4499	158.5105
5854.5	2.5388	86.8914	161.9965
5855	2.5372	86.4141	161.62
5855.5	2.5201	86.2088	163.7099
5856	2.5438	85.6347	164.4676
5856.5	2.543	85.6319	162.7157
5857	2.5666	85.6039	163.481
5857.5	2.5239	85.8627	167.7781
5858	2.5636	85.9501	166.6571
5858.5	2.5507	86.2141	164.9105
5859	2.5424	86.6612	164.4025
5859.5	2.5506	87.4597	163.4381
5860	2.547	87.6951	163.2272
5860.5	2.5554	88.3401	164.9498
5861	2.5552	88.396	162.2053
5861.5	2.5366	88.1724	161.9521
5862	2.5121	88.2708	161.7997
5862.5	2.5258	88.2711	158.0193
5863	2.5226	88.3495	158.8503
5863.5	2.5065	88.322	157.2452
5864	2.5242	89.2886	157.7895
5864.5	2.489	90.096	160.1796
5865	2.5454	90.2109	161.0809
5865.5	2.5024	90.6058	157.5551
5866	2.5127	90.9662	159.5893
5866.5	2.4868	91.3688	158.2029
5867	2.5137	90.6987	156.4012
5867.5	2.5004	90.0455	157.4404
5868	2.4861	89.4931	155.4621
5868.5	2.5075	88.9737	152.6108
5869	2.5129	88.3945	144.6901
5869.5	2.5216	88.1951	154.4859
5870	2.5276	88.4201	156.742
5870.5	2.5295	88.2996	157.5187
5871	2.5115	88.5704	157.4026
5871.5	2.49	88.4477	157.2648
5872	2.4964	88.3844	159.0683
5872.5	2.52	88.5079	157.3673
5873	2.5342	88.3866	157.8957
5873.5	2.5277	88.1452	154.4595
5874	2.4757	88.5193	153.4557
5874.5	2.4862	88.4035	156.1658
5875	2.475	88.8198	155.7832
5875.5	2.4597	88.5089	156.3777
5876	2.4677	88.41	155.6303
5876.5	2.4936	88.3283	142.5549
5877	2.495	88.1346	138.9747
5877.5	2.5324	88.4238	151.2452
5878	2.5009	88.537	150.9281
5878.5	2.49	88.4659	152.0074
5879	2.4909	88.9897	151.4055
5879.5	2.4806	88.521	144.4238
5880	2.4792	88.9252	143.9958
5880.5	2.4631	88.4663	143.983
5881	2.4403	87.7436	144.9525
5881.5	2.4366	87.1038	144.0575
5882	2.4179	86.9444	148.8544
5882.5	2.4422	86.116	150.0963
5883	2.4662	85.9692	149.3938
5883.5	2.5262	85.8965	147.4832
5884	2.4864	86.1983	141.5419
5884.5	2.5128	86.6493	138.8607
5885	2.5214	86.7551	146.3771
5885.5	2.5157	87.2842	145.0132
5886	2.4801	87.5794	144.26
5886.5	2.4722	87.941	145.5135
5887	2.4379	87.9367	145.1858
5887.5	2.459	87.9375	146.1973
5888	2.478	87.8036	147.868
5888.5	2.5248	87.9971	146.3048
5889	2.4912	88.2193	145.6322
5889.5	2.4956	87.8222	145.5341
5890	2.5188	86.9423	144.7466
5890.5	2.4999	86.2033	141.8957
5891	2.4547	85.5827	140.5871
5891.5	2.4523	85.1897	141.2023
5892	2.4242	84.6527	135.7686
5892.5	2.4262	83.4009	136.4842
5893	2.4721	82.4152	134.6938
5893.5	2.6294	81.1497	128.9091
5894	2.5353	80.0839	127.6461
5894.5	2.5365	79.4448	127.7804
5895	2.5189	78.1204	125.3568
5895.5	2.5042	77.9003	125.3128
5896	2.5046	76.4133	122.2096
5896.5	2.5053	72.1589	113.9961
5897	2.5547	68.8889	113.8867
5897.5	2.5277	65.1843	111.584
5898	2.5258	64.1933	105.7391
5898.5	2.6693	64.1488	109.6221
5899	2.7169	66.0978	111.4149
5899.5	2.6709	70.5806	114.6563
5900	2.5908	76.3468	122.0103
5900.5	2.5398	78.9121	122.2771
5901	2.5286	80.0829	125.7076
5901.5	2.4847	79.0935	126.1754
5902	2.4759	77.3406	126.642
5902.5	2.5089	76.817	125.7727
5903	2.52	76.367	126.71
5903.5	2.5445	77.9276	129.0925
5904	2.5893	79.981	132.8103
5904.5	2.5495	81.3062	134.2205
5905	2.5821	83.9078	137.3727
5905.5	2.549	84.8098	144.476
5906	2.5296	85.6024	142.0035
5906.5	2.5183	85.4534	141.7831
5907	2.5605	84.5134	142.1215
5907.5	2.5397	84.1312	137.7482
5908	2.5052	83.7477	133.5569
5908.5	2.5354	83.3576	134.8383
5909	2.5389	82.2168	132.0682
5909.5	2.594	80.4414	131.1364
5910	2.5798	79.815	129.392
5910.5	2.5276	79.6086	127.1269
5911	2.5363	77.204	125.5275
5911.5	2.5558	75.7594	124.1887
5912	2.5475	74.9215	121.8623
5912.5	2.6064	73.4224	120.0882
5913	2.6456	72.8573	116.2942
5913.5	2.5715	73.07	120.6182
5914	2.5539	73.9077	122.0703
5914.5	2.5584	75.563	124.3851
5915	2.5642	76.8246	126.0478
5915.5	2.6063	79.0323	126.8915
5916	2.5801	79.9743	127.4347
5916.5	2.604	80.4433	127.8576
5917	2.5326	81.0257	128.1946
5917.5	2.5876	80.638	129.0421
5918	2.5891	80.7068	129.1186
5918.5	2.5969	81.2233	129.7835
5919	2.6061	81.7006	129.7426
5919.5	2.5931	81.202	129.9787
5920	2.5378	80.7412	129.5675
5920.5	2.5373	80.1201	128.2567
5921	2.5838	79.1079	127.1283
5921.5	2.5867	77.5763	126.2718
5922	2.6233	76.1228	122.7613
5922.5	2.5646	75.4549	121.9143
5923	2.5893	74.1141	121.4406
5923.5	2.5608	73.9473	118.5618
5924	2.479	74.0054	120.4982
5924.5	2.5006	73.7841	121.4419
5925	2.5508	72.5371	120.6889
5925.5	2.5676	72.4149	121.1838
5926	2.5659	73.1877	122.0815
5926.5	2.5721	73.8543	123.376
5927	2.5563	75.7921	123.6744
5927.5	2.5462	75.9495	123.8678
5928	2.5613	77.166	124.6004
5928.5	2.5437	77.2953	124.6647
5929	2.5517	77.9535	124.8396
5929.5	2.5329	77.9343	126.0616
5930	2.6095	77.9909	124.9968
5930.5	2.5762	78.4239	125.056
5931	2.5623	74.8935	123.4234
5931.5	2.5696	71.46	116.0736
5932	2.5643	68.0691	113.066
5932.5	2.6239	60.0799	110.9989
5933	2.7699	57.3424	107.4174
5933.5	2.7978	54.2169	102.5804
5934	2.7686	52.8128	102.0304
5934.5	2.7488	52.7002	101.2006
5935	2.7347	53.4376	100.4816
5935.5	2.7261	53.3196	98.6833
5936	2.7237	53.6046	102.7397
5936.5	2.7126	54.9451	103.7343
5937	2.747	54.9311	105.0613
5937.5	2.7479	55.5625	105.276
5938	2.7402	55.9863	106.4754
5938.5	2.7472	55.4372	105.2418
5939	2.7453	54.9961	104.1105
5939.5	2.6876	52.9485	100.0364
5940	2.7784	50.3725	100.0364
5940.5	2.6052	49.2245	98.7386
5941	2.7143	48.3491	97.1099
5941.5	2.7109	47.4967	94.3891
5942	2.7111	48.0447	94.1347
5942.5	2.7237	48.2794	95.9268
5943	2.7222	48.2097	95.2475
5943.5	2.726	47.916	94.6444
5944	2.7312	48.0967	93.6729
5944.5	2.7423	47.6582	94.3155
5945	2.7464	47.6834	94.0831
5945.5	2.725	47.6505	94.1157
5946	2.7273	47.0508	92.5353
5946.5	2.7325	47.5944	94.8537
5947	2.7257	47.597	95.0798
5947.5	2.7205	47.6647	94.13
5948	2.7326	47.8461	95.3541
5948.5	2.736	48.2262	95.8157
5949	2.7235	48.8118	95.9997
5949.5	2.7141	48.2849	96.0642
5950	2.7124	47.9397	96.296
5950.5	2.7182	48.0902	95.0955
5951	2.7193	47.9973	94.5927
5951.5	2.7376	48.0092	94.8583
5952	2.7145	47.772	92.6431
5952.5	2.7251	47.8409	92.6038
5953	2.7237	47.8587	90.9514
5953.5	2.7175	48.0754	92.111
5954	2.7386	48.1107	91.1993
5954.5	2.726	48.089	92.2974
5955	2.7175	48.1045	93.4513
5955.5	2.7187	48.2285	92.1186
5956	2.7239	47.9994	90.5096
5956.5	2.733	47.8446	91.4304
5957	2.7285	47.6434	90.0729
5957.5	2.7301	47.7023	90.1901
5958	2.7319	47.3863	92.5546
5958.5	2.7219	47.2963	92.6292
5959	2.7312	47.6823	92.56
5959.5	2.7262	47.9757	92.5128
5960	2.7158	48.265	92.6756
5960.5	2.7261	48.54	95.3978
5961	2.7172	48.7293	93.8084
5961.5	2.6856	49.0577	92.8415
5962	2.6792	48.8604	92.6876
5962.5	2.6614	48.3978	91.6948
5963	2.6639	47.9122	88.5612
5963.5	2.6802	47.5763	91.3712
5964	2.6855	47.4574	93.1077
5964.5	2.694	47.0713	90.8648
5965	2.7127	47.0474	90.2006
5965.5	2.696	47.1553	92.7936
5966	2.7091	47.3188	92.0998
5966.5	2.7213	47.3886	95.1596
5967	2.7233	47.726	93.2909
5967.5	2.7206	47.618	91.6434
5968	2.7313	47.4288	90.7756
5968.5	2.7202	47.1305	89.3758
5969	2.7362	46.8232	91.2585
5969.5	2.7123	46.6131	80.977
5970	2.7144	46.5499	87.8106
5970.5	2.7872	46.7042	88.4874
5971	2.849	47.6741	87.3968
5971.5	2.8435	48.4841	86.3089
5972	2.8222	48.3223	88.3654
5972.5	2.788	48.7144	89.144
5973	2.6893	48.9029	90.131
5973.5	2.6551	47.8978	91.4298
5974	2.6856	47.3416	91.5697
5974.5	2.7496	47.1569	91.9039
5975	2.7152	47.2102	92.6634
5975.5	2.718	47.0711	91.8785
5976	2.7095	47.4446	92.573
5976.5	2.718	47.4007	91.2781
5977	2.7256	47.1277	91.0013
5977.5	2.7305	47.5375	90.3406
5978	2.725	47.6901	89.1485
5978.5	2.729	47.9618	89.0838
5979	2.7671	48.4448	93.487
5979.5	2.8503	49.6822	92.1435
5980	2.8241	49.9531	90.5042
5980.5	2.7927	49.8154	92.4145
5981	2.7481	49.49	92.1112
5981.5	2.699	47.9704	91.4774
5982	2.7049	47.9594	93.6041
5982.5	2.7192	47.1456	89.9844
5983	2.7152	47.2595	92.7321
5983.5	2.7217	47.4248	91.047
5984	2.7168	46.8138	91.997
5984.5	2.7145	46.7092	91.8643
5985	2.7993	46.8932	91.0513
5985.5	2.7969	47.4013	92.0927
5986	2.7205	47.0442	92.1823
5986.5	2.7228	47.7931	95.4922
5987	2.7133	47.7056	95.329
5987.5	2.7146	47.6008	95.5177
5988	2.7126	47.5698	94.5321
5988.5	2.698	47.5604	96.8851
5989	2.7256	47.7435	96.0143
5989.5	2.7287	47.3776	92.4174
5990	2.7173	47.9541	94.6754
5990.5	2.7131	47.9931	96.9724
5991	2.7084	47.8618	92.6354
5991.5	2.7167	47.8617	92.5329
5992	2.7325	47.997	92.4836
5992.5	2.7277	47.655	91.1135
5993	2.7228	47.8056	90.0658
5993.5	2.7253	47.7942	90.871
5994	2.7248	47.73	95.3752
5994.5	2.7317	47.9882	95.7349
5995	2.7379	48.0475	91.8384
5995.5	2.735	48.1742	95.9447
5996	2.7489	47.757	94.9004
5996.5	2.7664	48.2875	96.2084
5997	2.7211	47.92	93.2864
5997.5	2.731	47.9869	92.8726
5998	2.7323	48.0453	94.3902
5998.5	2.7242	47.9215	94.15
5999	2.7142	47.913	91.3659
5999.5	2.7158	47.9189	91.4016
6000	2.7291	47.7868	92.0707
6000.5	2.7293	47.7601	92.0943
6001	2.7349	47.6163	91.9808
6001.5	2.7357	47.7208	92.5823
6002	2.73	47.7467	91.4234
6002.5	2.7275	47.7592	94.3063
6003	2.7406	48.0114	92.8106
6003.5	2.7247	48.1501	92.822
6004	2.7348	48.124	93.6393
6004.5	2.7231	48.126	93.0299
6005	2.7085	47.9495	92.4317
6005.5	2.7202	47.719	94.0728
6006	2.7383	47.9213	92.7173
6006.5	2.7338	48.042	93.2909
6007	2.7237	47.8635	91.9795
6007.5	2.7409	47.1257	89.6333
6008	2.7391	46.8623	91.2264
6008.5	2.7478	46.9466	92.4889
6009	2.7619	46.4801	91.7024
6009.5	2.8275	46.6557	91.2537
6010	2.843	46.7298	91.1986
6010.5	2.8188	47.1382	90.8389
6011	2.8005	47.8091	91.36
6011.5	2.8327	48.3803	89.9459
6012	2.8114	48.4339	88.8276
6012.5	2.8151	48.7982	89.1535
6013	2.7479	48.8473	89.1882
6013.5	2.7399	49.0903	88.4082
6014	2.7853	48.8238	87.0853
6014.5	2.8024	47.6843	87.8549
6015	2.8042	47.3157	88.1084
6015.5	2.8117	46.5453	86.0347
6016	2.7885	46.2975	88.9175
6016.5	2.7832	46.7192	89.5976
6017	2.735	46.9821	90.4
6017.5	2.7362	47.5495	90.2438
6018	2.7288	47.7417	90.9698
6018.5	2.7193	47.7372	91.7
6019	2.7181	47.7832	91.8832
6019.5	2.7377	47.7206	92.392
6020	2.7491	47.5658	90.0131
6020.5	2.7385	47.6989	90.3626
6021	2.7191	47.6032	91.493
6021.5	2.6893	47.7351	92.1137
6022	2.7122	47.6027	91.9684
6022.5	2.7121	47.525	91.794
6023	2.7252	47.5272	91.0026
6023.5	2.7136	47.5164	92.9199
6024	2.7129	47.4355	92.1555
6024.5	2.6977	47.4251	92.5242
6025	2.7263	47.373	92.7353
6025.5	2.7008	47.487	91.2545
6026	2.713	47.4302	93.1473
6026.5	2.7288	47.5849	91.7372
6027	2.7253	47.6153	92.2134
6027.5	2.7375	47.6212	92.0347
6028	2.7256	47.7385	91.0342
6028.5	2.7348	47.6377	89.5241
6029	2.7403	46.7894	89.2114
6029.5	2.7299	46.8908	89.3574
6030	2.7237	46.4219	89.7431
6030.5	2.7622	46.5347	89.5064
6031	2.8	46.1462	86.3753
6031.5	2.7817	46.2743	90.1814
6032	2.7429	46.7298	91.7669
6032.5	2.7396	47.4509	90.5046
6033	2.7176	47.5799	90.5046
6033.5	2.7159	47.6427	90.2344
6034	2.7216	47.6678	90.5586
6034.5	2.721	47.6729	94.0265
6035	2.7285	47.6432	92.2132
6035.5	2.7293	47.6494	95.5684
6036	2.7321	47.7047	91.206
6036.5	2.7298	47.7214	94.4999
6037	2.7194	47.7605	92.2168
6037.5	2.7088	47.8276	91.6299
6038	2.7345	47.8725	92.6407
6038.5	2.7106	47.8639	92.5138
6039	2.7189	47.8276	92.4995
6039.5	2.7206	47.7927	95.6184
6040	2.7239	47.7346	94.5746
6040.5	2.7184	47.7241	90.8449
6041	2.7126	47.6994	94.5836
6041.5	2.7145	47.6596	91.636
6042	2.7308	47.761	95.3677
6042.5	2.723	47.9828	94.1734
6043	2.7227	47.89	95.6053
6043.5	2.7229	48.181	91.4424
6044	2.7183	48.047	95.3286
6044.5	2.71	48.1735	92.9078
6045	2.7065	48.2663	96.0335
6045.5	2.7319	48.391	97.0085
6046	2.7314	48.1411	94.7625
6046.5	2.7274	47.9624	94.4769
6047	2.7238	48.0468	95.2718
6047.5	2.733	47.9754	95.0759
6048	2.7322	47.9488	94.5404
6048.5	2.718	47.7826	95.0869
6049	2.7192	47.7364	94.8176
6049.5	2.7235	47.6722	95.5739
6050	2.7308	47.7583	93.8279
6050.5	2.7431	47.6513	93.6537
6051	2.7209	47.6506	93.9784
6051.5	2.7376	47.6237	93.465
6052	2.7471	47.7693	91.4473
6052.5	2.7444	47.9032	91.252
6053	2.7308	48.0259	91.4465
6053.5	2.7321	47.8528	89.6736
6054	2.7419	47.6687	92.0346
6054.5	2.7674	46.8019	89.3685
6055	2.7799	46.3117	91.0893
6055.5	2.7975	46.1445	89.9114
6056	2.8159	46.1696	92.34
6056.5	2.8176	46.1094	90.5335
6057	2.8323	46.7852	92.0117
6057.5	2.8333	46.7725	92.3135
6058	2.826	47.0912	91.1874
6058.5	2.8021	47.3951	93.5007
6059	2.7381	47.4946	92.2673
6059.5	2.7345	47.4883	91.8019
6060	2.7536	47.3173	91.0607
6060.5	2.8023	47.2596	89.5473
6061	2.8562	47.221	90.9772
6061.5	2.844	46.7916	91.0126
6062	2.8044	46.7712	90.9754
6062.5	2.734	46.6379	90.7689
6063	2.7155	46.7519	91.0233
6063.5	2.733	47.0898	90.9703
6064	2.7244	47.0691	92.4282
6064.5	2.7255	47.3962	91.7667
6065	2.7303	47.4708	91.911
6065.5	2.7218	47.4411	90.9048
6066	2.7207	47.3951	91.7425
6066.5	2.7212	47.2943	91.6784
6067	2.7256	47.3845	90.9529
6067.5	2.7524	47.2934	90.5027
6068	2.7311	47.4841	90.8251
6068.5	2.7149	47.6479	91.4284
6069	2.7234	47.5193	91.287
6069.5	2.7383	47.4918	91.8143
6070	2.7349	47.4508	91.3144
6070.5	2.7001	47.3977	90.7376
6071	2.72	46.9109	92.0949
6071.5	2.723	46.826	91.9051
6072	2.7323	46.8356	91.8963
6072.5	2.7238	46.925	91.0065
6073	2.7193	47.3488	90.5417
6073.5	2.7286	47.4544	90.8371
6074	2.7276	47.5266	90.9993
6074.5	2.7277	47.5971	91.7339
6075	2.7327	47.6223	90.6534
6075.5	2.7288	47.5261	91.9769
6076	2.7427	47.4786	91.7977
6076.5	2.7358	47.6033	91.5829
6077	2.7259	47.6134	92.4582
6077.5	2.7223	47.6582	91.7993
6078	2.7169	47.6627	92.1593
6078.5	2.721	47.7687	91.9219
6079	2.7192	47.7657	91.7433
6079.5	2.7061	47.6988	90.6612
6080	2.718	47.7781	92.2588
6080.5	2.7233	47.7809	92.2588
6081	2.7354	47.7596	92.4686
6081.5	2.734	47.8166	92.437
6082	2.7364	47.7607	92.7332
6082.5	2.731	47.7951	92.6854
6083	2.7275	47.7656	91.6222
6083.5	2.7189	47.8365	92.0685
6084	2.7184	48.0453	91.7106
6084.5	2.7203	47.9328	90.8352
6085	2.7087	47.9622	92.7743
6085.5	2.7222	47.9083	92.2574
6086	2.7165	47.8883	91.0504
6086.5	2.7274	47.8593	92.0154
6087	2.7471	47.6687	92.4997
6087.5	2.7083	47.8803	92.7436
6088	2.7092	47.4661	92.3002
6088.5	2.7163	47.8791	91.5527
6089	2.7469	47.9329	91.7494
6089.5	2.7228	47.8388	91.8087
6090	2.7319	47.7945	92.3032
6090.5	2.7265	47.7589	92.3252
6091	2.7307	47.7595	92.8476
6091.5	2.7246	47.6755	93.0705
6092	2.7202	47.712	90.5822
6092.5	2.7368	47.844	90.5822
6093	2.7315	47.9609	92.64
6093.5	2.7337	48.0568	92.0777
6094	2.732	48.1789	92.2081
6094.5	2.7477	48.27	92.5011
6095	2.7471	48.2941	92.1507
6095.5	2.7315	48.1838	92.4359
6096	2.7149	48.2042	92.1578
6096.5	2.7309	48.4338	92.5915
6097	2.7303	48.3028	92.1606
6097.5	2.7166	48.2177	91.9091
6098	2.6928	48.0654	91.9251
6098.5	2.6878	47.9881	91.3589
6099	2.7156	48.0406	92.7388
6099.5	2.7152	47.7703	92.679
6100	2.7306	47.8134	91.918
6100.5	2.7307	47.8293	91.9726
6101	2.7211	47.957	91.9487
6101.5	2.7104	47.914	91.7708
6102	2.7114	47.8242	92.3815
6102.5	2.7111	47.8552	92.2218
6103	2.7124	47.7746	91.1008
6103.5	2.7295	47.942	91.5774
6104	2.7174	48.0454	91.8124
6104.5	2.7142	48.185	91.2736
6105	2.705	48.2075	91.8379
6105.5	2.7167	48.0975	92.3309
6106	2.7154	47.8599	92.9547
6106.5	2.7366	47.9733	92.7968
6107	2.7279	48.0064	92.5529
6107.5	2.7365	47.9984	92.9306
6108	2.7279	47.9581	92.975
6108.5	2.7183	47.8051	92.7294
6109	2.7054	47.743	92.9431
6109.5	2.7139	47.7965	92.6087
6110	2.7136	47.7336	92.7079
6110.5	2.7339	47.7519	90.8093
6111	2.7155	47.7138	90.6524
6111.5	2.7248	47.703	93.7538
6112	2.7223	47.6886	91.2523
6112.5	2.7241	47.6324	93.2012
6113	2.7265	47.6176	94.2874
6113.5	2.7278	47.7472	92.4351
6114	2.7247	47.8464	94.3712
