Depth (ft)	Density (g/cc)	t_compressional (micros/ft)	t_shear (micros/ft)
5129.5	2.5421	95.8548	171.7617
5130	2.5231	95.5456	185.6715
5130.5	2.6116	96.1289	179.2982
5131	2.4132	95.095	158.2236
5131.5	2.5205	94.9209	153.4999
5132	2.5828	94.7581	161.0179
5132.5	2.5546	93.5354	148.9315
5133	2.5399	92.9137	144.6574
5133.5	2.5271	92.9705	151.2855
5134	2.5798	94.0348	153.3592
5134.5	2.5497	94.2247	159.0602
5135	2.5892	95.4247	163.7339
5135.5	2.5901	95.8525	173.7077
5136	2.5102	97.8345	160.6494
5136.5	2.5382	96.8006	147.1501
5137	2.5066	95.8956	160.9744
5137.5	2.4827	93.2888	152.6489
5138	2.5717	91.3588	145.8297
5138.5	2.5277	89.9505	142.2591
5139	2.627	88.9698	137.358
5139.5	2.6206	87.0846	152.7454
5140	2.5889	88.9735	150.2009
5140.5	2.5825	90.3987	218.1055
5141	2.5808	91.1729	223.4171
5141.5	2.5589	91.1429	202.0746
5142	2.5812	91.4242	169.5611
5142.5	2.6179	91.6245	162.5091
5143	2.5879	92.6631	141.5148
5143.5	2.5464	92.9341	146.1186
5144	2.5864	93.5569	133.6927
5144.5	2.5514	95.0357	161.6665
5145	2.5443	93.3907	180.6569
5145.5	2.553	88.3624	180.4906
5146	2.5292	88.5022	161.9839
5146.5	2.531	88.2303	149.5073
5147	2.6513	87.9007	140.6635
5147.5	2.7048	87.0669	148.4623
5148	2.636	87.4384	144.7679
5148.5	2.6151	87.1098	170.2473
5149	2.5779	84.768	154.5422
5149.5	2.5546	80.024	164.2613
5150	2.5579	76.9404	126.8241
5150.5	2.5875	75.5189	136.9965
5151	2.6669	75.8414	147.4728
5151.5	2.7151	77.107	138.439
5152	2.706	79.4551	146.8852
5152.5	2.6447	80.1275	149.2832
5153	2.6148	81.2965	150.6351
5153.5	2.5875	80.5027	147.945
5154	2.5951	78.5752	144.0707
5154.5	2.5902	77.2861	140.7652
5155	2.6041	76.0955	137.2919
5155.5	2.6386	77.4382	140.3579
5156	2.6094	78.747	144.5538
5156.5	2.6651	80.6816	161.5568
5157	2.6062	85.4373	167.6667
5157.5	2.5573	86.5411	168.1368
5158	2.5486	85.7742	165.6502
5158.5	2.5536	81.8145	152.6432
5159	2.5457	76.9972	141.708
5159.5	2.5404	74.6405	138.0475
5160	2.5969	73.918	134.3668
5160.5	2.7472	72.9881	134.6025
5161	2.6879	70.6541	131.017
5161.5	2.6363	70.3154	126.5105
5162	2.6322	68.2713	125.3421
5162.5	2.609	64.2715	118.7308
5163	2.7408	57.9452	112.7404
5163.5	2.5913	54.2315	106.4179
5164	2.7339	49.3006	101.1393
5164.5	2.7363	48.6093	98.2395
5165	2.7862	46.7769	98.5376
5165.5	2.7409	47.6919	95.0032
5166	2.721	47.0965	92.3078
5166.5	2.7204	47.2167	95.9393
5167	2.7264	46.825	96.0021
5167.5	2.7233	47.4132	94.2504
5168	2.7221	48.2833	94.1394
5168.5	2.7153	47.7699	95.3368
5169	2.7395	48.9384	93.4016
5169.5	2.7152	48.285	95.4636
5170	2.7017	47.7034	95.4235
5170.5	2.719	48.0457	95.4569
5171	2.741	46.9166	96.1159
5171.5	2.7449	47.922	95.4005
5172	2.7414	47.2301	92.7556
5172.5	2.7439	46.51	91.522
5173	2.7296	48.0898	96.5166
5173.5	2.7105	48.2245	92.3006
5174	2.7048	47.6765	93.6822
5174.5	2.7131	47.7427	95.0309
5175	2.7286	47.6778	91.9488
5175.5	2.7236	47.6791	90.7416
5176	2.7421	47.8978	91.3012
5176.5	2.7266	47.6142	90.2785
5177	2.7258	47.9466	92.4377
5177.5	2.7394	48.0139	92.2942
5178	2.7424	48.0471	92.009
5178.5	2.7238	48.1972	91.9515
5179	2.7284	48.6677	92.7819
5179.5	2.7459	49.199	92.4094
5180	2.7601	49.9563	91.3747
5180.5	2.7495	50.3241	90.3415
5181	2.734	50.2985	90.6047
5181.5	2.717	49.9434	80.572
5182	2.7143	50.2413	77.6741
5182.5	2.7242	51.4867	84.0541
5183	2.7548	53.3714	86.2028
5183.5	2.7286	54.5784	77.5217
5184	2.7325	55.7984	79.4915
5184.5	2.6976	56.35	91.7155
5185	2.6745	56.5483	101.7294
5185.5	2.6493	56.8182	97.4027
5186	2.6679	56.6912	91.1808
5186.5	2.6613	56.7645	85.5719
5187	2.6766	56.6662	82.2847
5187.5	2.6891	56.8599	95.1487
5188	2.6378	56.2658	90.7431
5188.5	2.6637	55.9254	89.4228
5189	2.6944	55.9845	94.2953
5189.5	2.6812	56.4431	93.2715
5190	2.6454	57.6237	93.1992
5190.5	2.6689	58.9883	100.7324
5191	2.7322	58.3812	101.7834
5191.5	2.6751	58.6779	101.2595
5192	2.6422	58.591	103.6831
5192.5	2.6506	58.2262	102.4295
5193	2.6365	58.5895	101.4578
5193.5	2.6758	59.6366	100.8317
5194	2.6691	59.9486	100.2125
5194.5	2.6315	60.3448	102.5632
5195	2.6414	60.9062	104.5392
5195.5	2.6821	62.2225	112.9029
5196	2.6815	62.8863	114.191
5196.5	2.679	62.3936	115.075
5197	2.6435	62.5492	120.7822
5197.5	2.6407	62.9322	119.749
5198	2.6388	61.2644	116.5308
5198.5	2.6285	61.8324	114.6294
5199	2.6454	62.1287	112.3294
5199.5	2.635	63.0583	109.8946
5200	2.6255	63.4103	111.2762
5200.5	2.6562	63.4815	112.3997
5201	2.6559	65.4329	114.1931
5201.5	2.6362	66.2282	117.3162
5202	2.6319	67.3861	119.81
5202.5	2.653	67.309	123.6433
5203	2.6554	67.736	123.1593
5203.5	2.6452	67.9014	124.4314
5204	2.6342	67.5648	123.909
5204.5	2.6214	67.8255	122.9773
5205	2.6229	68.0255	123.3559
5205.5	2.6595	68.7953	123.3025
5206	2.6509	69.6793	128.4953
5206.5	2.6351	71.5459	127.8917
5207	2.6183	71.7938	130.8823
5207.5	2.632	72.1751	132.7527
5208	2.6141	72.5074	135.1453
5208.5	2.5969	72.0726	129.483
5209	2.6174	70.5895	127.5551
5209.5	2.6139	67.7911	118.4005
5210	2.6222	64.0538	114.4015
5210.5	2.635	62.1594	110.9574
5211	2.6512	59.8998	109.8966
5211.5	2.6786	60.261	108.8886
5212	2.7395	60.1647	106.9202
5212.5	2.6481	59.5296	104.9808
5213	2.6511	58.9552	103.1479
5213.5	2.6463	54.1836	101.2563
5214	2.6434	52.5473	97.1141
5214.5	2.6994	49.8672	94.2126
5215	2.7617	47.9991	92.0502
5215.5	2.7368	48.1979	92.4606
5216	2.7535	47.8861	91.6396
5216.5	2.7338	49.3355	94.1792
5217	2.7184	54.5202	103.7042
5217.5	2.7375	56.2219	112.9535
5218	2.7341	64.2511	118.8278
5218.5	2.7489	69.8018	126.1051
5219	2.6729	72.1526	129.7677
5219.5	2.5795	72.2076	127.0824
5220	2.537	70.0163	127.9483
5220.5	2.5005	68.3339	118.3877
5221	2.6573	67.1354	115.0368
5221.5	2.6453	64.845	114.9465
5222	2.5889	63.1215	109.5315
5222.5	2.5641	59.4022	106.1727
5223	2.6063	57.6327	104.7824
5223.5	2.6642	56.5717	101.8558
5224	2.6938	54.0795	95.9233
5224.5	2.7223	54.4215	96.0451
5225	2.735	55.9615	97.1171
5225.5	2.7129	56.9645	100.2219
5226	2.6265	58.4863	98.1217
5226.5	2.6345	58.3798	97.0552
5227	2.6313	56.6646	97.5154
5227.5	2.6562	56.2246	99.5872
5228	2.6145	55.5045	101.0819
5228.5	2.6444	55.3509	103.2447
5229	2.6767	55.8812	102.238
5229.5	2.7292	56.3316	98.7784
5230	2.7152	56.4828	99.051
5230.5	2.6512	58.4999	101.8086
5231	2.6437	60.0845	116.9322
5231.5	2.6436	60.2744	124.7962
5232	2.6534	60.9151	113.3516
5232.5	2.6471	61.339	116.952
5233	2.6402	62.4126	116.0051
5233.5	2.644	63.1711	115.6393
5234	2.642	63.5737	121.2839
5234.5	2.6397	63.1987	116.3457
5235	2.6105	64.5525	115.3986
5235.5	2.6299	65.1897	120.2204
5236	2.6168	65.6085	120.7211
5236.5	2.644	65.983	115.9608
5237	2.6666	66.1516	116.1002
5237.5	2.6385	67.0631	123.4825
5238	2.6218	66.6866	119.5792
5238.5	2.6247	65.9399	113.6285
5239	2.624	66.2166	115.2127
5239.5	2.6243	65.908	112.0625
5240	2.6033	67.1293	108.9427
5240.5	2.6085	66.8569	112.0438
5241	2.6307	68.0793	113.2542
5241.5	2.63	67.8499	111.5934
5242	2.6272	68.2098	110.5417
5242.5	2.636	68.077	101.2731
5243	2.6324	68.04	111.1887
5243.5	2.6072	68.4148	115.2205
5244	2.6096	68.5633	111.3116
5244.5	2.6125	69.1111	118.5736
5245	2.6015	69.7011	121.7635
5245.5	2.606	70.046	145.2671
5246	2.5999	70.0483	150.6452
5246.5	2.586	70.0693	150.6452
5247	2.6152	70.0345	143.2097
5247.5	2.6063	69.9688	126.3121
5248	2.6243	70.1842	124.3129
5248.5	2.6231	69.9759	121.2739
5249	2.6248	70.1129	122.4828
5249.5	2.6252	71.4783	122.9461
5250	2.6135	71.7937	125.2785
5250.5	2.5827	72.1646	125.8039
5251	2.6027	72.1633	126.1184
5251.5	2.6186	71.9996	128.7871
5252	2.6205	71.7863	128.2004
5252.5	2.6082	71.892	131.3179
5253	2.6279	71.8374	131.3179
5253.5	2.6166	71.8402	132.9321
