depthft	density_gcc	s_v	hydrostatic_pres	porosity1	porosity2	eff_v_stress
3805	2.156	17.976	11.366	0.314	0.32	6.611
3806	2.134	17.983	11.369	0.314	0.333	6.614
3807	2.136	17.989	11.372	0.314	0.332	6.617
3808	2.146	17.996	11.375	0.314	0.326	6.621
3809	2.154	18.002	11.378	0.314	0.321	6.624
3810	2.158	18.008	11.381	0.314	0.319	6.628
3811	2.212	18.015	11.384	0.314	0.287	6.631
3812	2.196	18.022	11.387	0.314	0.296	6.635
3813	2.139	18.028	11.39	0.314	0.33	6.638
3814	2.118	18.034	11.393	0.314	0.342	6.642
3815	2.118	18.041	11.396	0.314	0.342	6.645
3816	2.132	18.047	11.399	0.313	0.334	6.648
3817	2.148	18.053	11.402	0.313	0.325	6.652
3818	2.18	18.06	11.405	0.313	0.306	6.655
3819	2.172	18.066	11.408	0.313	0.311	6.659
3820	2.198	18.073	11.41	0.313	0.295	6.663
3821	2.21	18.08	11.413	0.313	0.288	6.666
3822	2.224	18.086	11.416	0.313	0.28	6.67
3823	2.236	18.093	11.419	0.313	0.273	6.673
3824	2.234	18.1	11.422	0.313	0.274	6.677
3825	2.23	18.106	11.425	0.313	0.276	6.681
3826	2.226	18.113	11.428	0.313	0.279	6.684
3827	2.182	18.119	11.431	0.313	0.305	6.688
3828	2.166	18.126	11.434	0.313	0.314	6.692
3829	2.19	18.132	11.437	0.313	0.3	6.695
3830	2.178	18.139	11.44	0.313	0.307	6.699
3831	2.142	18.145	11.443	0.313	0.328	6.702
3832	2.212	18.152	11.446	0.313	0.287	6.706
3833	2.228	18.159	11.449	0.313	0.278	6.709
3834	2.188	18.165	11.452	0.313	0.301	6.713
3835	2.178	18.172	11.455	0.313	0.307	6.716
3836	2.188	18.178	11.458	0.313	0.301	6.72
3837	2.19	18.185	11.461	0.313	0.3	6.723
3838	2.224	18.191	11.464	0.313	0.28	6.727
3839	2.246	18.198	11.467	0.313	0.267	6.731
3840	2.224	18.205	11.47	0.313	0.28	6.734
3841	2.264	18.211	11.473	0.313	0.256	6.738
3842	2.236	18.218	11.476	0.313	0.273	6.742
3843	2.25	18.225	11.479	0.313	0.265	6.746
3844	2.234	18.232	11.482	0.312	0.274	6.749
3845	2.236	18.238	11.485	0.312	0.273	6.753
3846	2.218	18.245	11.488	0.312	0.284	6.757
3847	2.206	18.251	11.491	0.312	0.291	6.76
3848	2.23	18.258	11.494	0.312	0.276	6.764
3849	2.218	18.265	11.497	0.312	0.284	6.768
3850	2.207	18.271	11.5	0.312	0.29	6.771
3851	2.166	18.278	11.503	0.312	0.314	6.775
3852	2.194	18.284	11.506	0.312	0.298	6.778
3853	2.215	18.291	11.509	0.312	0.285	6.782
3854	2.234	18.298	11.512	0.312	0.274	6.786
3855	2.218	18.304	11.515	0.312	0.284	6.789
