depthft	density_gcc	s_v	hydrostatic_pres	porosity	gradient
6073.5	2.729	46.15	18.142	-0.017	26.74
6074.0	2.728	46.155	18.143	-0.016	26.73
6074.5	2.728	46.159	18.145	-0.016	26.731
6075.0	2.733	46.163	18.146	-0.019	26.78
6075.5	2.729	46.167	18.148	-0.017	26.742
6076.0	2.743	46.171	18.149	-0.025	26.878
6076.5	2.736	46.175	18.151	-0.021	26.811
6077.0	2.726	46.179	18.152	-0.015	26.714
6077.5	2.722	46.183	18.154	-0.013	26.679
6078.0	2.717	46.187	18.155	-0.01	26.626
6078.5	2.721	46.191	18.157	-0.012	26.666
6079.0	2.719	46.195	18.158	-0.011	26.648
6079.5	2.706	46.199	18.16	-0.004	26.52
6080.0	2.718	46.203	18.161	-0.011	26.636
6080.5	2.723	46.207	18.163	-0.014	26.688
6081.0	2.735	46.211	18.164	-0.021	26.807
6081.5	2.734	46.216	18.166	-0.02	26.793
6082.0	2.736	46.22	18.167	-0.021	26.817
6082.5	2.731	46.224	18.169	-0.018	26.764
6083.0	2.728	46.228	18.17	-0.016	26.73
6083.5	2.719	46.232	18.172	-0.011	26.645
6084.0	2.718	46.236	18.173	-0.011	26.64
6084.5	2.72	46.24	18.175	-0.012	26.659
6085.0	2.709	46.244	18.176	-0.005	26.545
6085.5	2.722	46.248	18.178	-0.013	26.678
6086.0	2.716	46.252	18.179	-0.01	26.622
6086.5	2.727	46.256	18.181	-0.016	26.729
6087.0	2.747	46.26	18.182	-0.028	26.922
6087.5	2.708	46.264	18.184	-0.005	26.541
6088.0	2.709	46.268	18.185	-0.005	26.55
6088.5	2.716	46.272	18.187	-0.01	26.62
6089.0	2.747	46.277	18.188	-0.028	26.92
6089.5	2.723	46.281	18.19	-0.013	26.683
6090.0	2.732	46.285	18.191	-0.019	26.773
6090.5	2.726	46.289	18.193	-0.016	26.72
6091.0	2.731	46.293	18.194	-0.018	26.761
6091.5	2.725	46.297	18.196	-0.014	26.701
6092.0	2.72	46.301	18.197	-0.012	26.658
6092.5	2.737	46.305	18.199	-0.022	26.821
6093.0	2.732	46.309	18.2	-0.019	26.769
6093.5	2.734	46.313	18.202	-0.02	26.79
6094.0	2.732	46.317	18.203	-0.019	26.774
6094.5	2.748	46.321	18.205	-0.028	26.927
6095.0	2.747	46.326	18.206	-0.028	26.922
6095.5	2.732	46.33	18.208	-0.019	26.769
6096.0	2.715	46.334	18.209	-0.009	26.606
6096.5	2.731	46.338	18.21	-0.018	26.763
6097.0	2.73	46.342	18.212	-0.018	26.757
6097.5	2.717	46.346	18.213	-0.01	26.623
6098.0	2.693	46.35	18.215	0.004	26.389
6098.5	2.688	46.354	18.216	0.007	26.34
6099.0	2.716	46.358	18.218	-0.009	26.613
6099.5	2.715	46.362	18.219	-0.009	26.609
6100.0	2.731	46.366	18.221	-0.018	26.76
6100.5	2.731	46.37	18.222	-0.018	26.761
6101.0	2.721	46.374	18.224	-0.012	26.667
6101.5	2.71	46.378	18.225	-0.006	26.562
6102.0	2.711	46.382	18.227	-0.007	26.572
6102.5	2.711	46.386	18.228	-0.007	26.569
6103.0	2.712	46.39	18.23	-0.007	26.582
6103.5	2.73	46.395	18.231	-0.017	26.749
6104.0	2.717	46.399	18.233	-0.01	26.631
6104.5	2.714	46.403	18.234	-0.008	26.599
6105.0	2.705	46.407	18.236	-0.003	26.509
6105.5	2.717	46.411	18.237	-0.01	26.624
6106.0	2.715	46.415	18.239	-0.009	26.611
6106.5	2.737	46.419	18.24	-0.022	26.819
6107.0	2.728	46.423	18.242	-0.016	26.733
6107.5	2.736	46.427	18.243	-0.021	26.818
6108.0	2.728	46.431	18.245	-0.016	26.733
6108.5	2.718	46.435	18.246	-0.011	26.639
6109.0	2.705	46.439	18.248	-0.003	26.513
6109.5	2.714	46.443	18.249	-0.008	26.596
6110.0	2.714	46.447	18.251	-0.008	26.593
6110.5	2.734	46.451	18.252	-0.02	26.792
6111.0	2.716	46.455	18.254	-0.009	26.612
6111.5	2.725	46.46	18.255	-0.015	26.703
6112.0	2.722	46.464	18.257	-0.013	26.679
6112.5	2.724	46.468	18.258	-0.014	26.696
6113.0	2.726	46.472	18.26	-0.016	26.72
6113.5	2.728	46.476	18.261	-0.016	26.732
6114.0	2.725	46.48	18.263	-0.015	26.702
6114.5	2.707	46.484	18.264	-0.004	26.533
6115.0	2.709	46.488	18.266	-0.005	26.547
6115.5	2.723	46.492	18.267	-0.014	26.687
6116.0	2.74	46.496	18.269	-0.023	26.851
6116.5	2.724	46.5	18.27	-0.014	26.7
6117.0	2.718	46.504	18.272	-0.011	26.635
6117.5	2.702	46.508	18.273	-0.001	26.484
6118.0	2.704	46.512	18.275	-0.002	26.499
6118.5	2.728	46.516	18.276	-0.016	26.73
6119.0	2.72	46.52	18.278	-0.012	26.658
6119.5	2.716	46.525	18.279	-0.009	26.613
6120.0	2.71	46.529	18.281	-0.006	26.554
6120.5	2.716	46.533	18.282	-0.009	26.615
6121.0	2.7	46.537	18.284	-0.0	26.462
6121.5	2.706	46.541	18.285	-0.004	26.522
6122.0	2.696	46.545	18.287	0.002	26.421
6122.5	2.703	46.549	18.288	-0.002	26.487
6123.0	2.711	46.553	18.29	-0.006	26.565
6123.5	2.711	46.557	18.291	-0.006	26.566
6124.0	2.72	46.561	18.293	-0.012	26.654
6124.5	2.708	46.565	18.294	-0.005	26.541
6125.0	2.711	46.569	18.296	-0.006	26.565
6125.5	2.704	46.573	18.297	-0.002	26.499
6126.0	2.702	46.577	18.299	-0.001	26.479
6126.5	2.705	46.581	18.3	-0.003	26.505
6127.0	2.706	46.585	18.302	-0.004	26.522
6127.5	2.71	46.589	18.303	-0.006	26.554
6128.0	2.717	46.593	18.305	-0.01	26.63
6128.5	2.714	46.597	18.306	-0.008	26.595
6129.0	2.721	46.601	18.308	-0.013	26.669
6129.5	2.72	46.605	18.309	-0.012	26.661
6130.0	2.695	46.61	18.311	0.003	26.411
6130.5	2.701	46.614	18.312	-0.001	26.474
6131.0	2.724	46.618	18.314	-0.014	26.7
6131.5	2.724	46.622	18.315	-0.014	26.69
6132.0	2.719	46.626	18.317	-0.011	26.643
6132.5	2.72	46.63	18.318	-0.012	26.653
6133.0	2.725	46.634	18.32	-0.015	26.704
6133.5	2.722	46.638	18.321	-0.013	26.681
6134.0	2.717	46.642	18.323	-0.01	26.63
6134.5	2.712	46.646	18.324	-0.007	26.574
6135.0	2.718	46.65	18.325	-0.011	26.639
6135.5	2.732	46.654	18.327	-0.019	26.775
6136.0	2.718	46.658	18.328	-0.01	26.634
6136.5	2.717	46.662	18.33	-0.01	26.627
6137.0	2.726	46.666	18.331	-0.015	26.712
6137.5	2.715	46.67	18.333	-0.009	26.609
6138.0	2.706	46.674	18.334	-0.003	26.516
6138.5	2.7	46.678	18.336	0.0	26.46
6139.0	2.703	46.683	18.337	-0.002	26.491
6139.5	2.718	46.687	18.339	-0.011	26.639
6140.0	2.722	46.691	18.34	-0.013	26.671
6140.5	2.733	46.695	18.342	-0.02	26.787
6141.0	2.752	46.699	18.343	-0.031	26.975
6141.5	2.746	46.703	18.345	-0.027	26.914
6142.0	2.733	46.707	18.346	-0.019	26.78
6142.5	2.74	46.711	18.348	-0.024	26.855
6143.0	2.753	46.715	18.349	-0.031	26.983
6143.5	2.75	46.719	18.351	-0.029	26.95
6144.0	2.751	46.723	18.352	-0.03	26.958
6144.5	2.728	46.728	18.354	-0.017	26.736
6145.0	2.727	46.732	18.355	-0.016	26.721
6145.5	2.713	46.736	18.357	-0.008	26.586
6146.0	2.72	46.74	18.358	-0.012	26.657
6146.5	2.725	46.744	18.36	-0.015	26.709
6147.0	2.725	46.748	18.361	-0.015	26.703
6147.5	2.733	46.752	18.363	-0.02	26.786
6148.0	2.754	46.756	18.364	-0.031	26.984
6148.5	2.746	46.76	18.366	-0.027	26.907
6149.0	2.721	46.764	18.367	-0.012	26.663
6149.5	2.717	46.768	18.369	-0.01	26.623
6150.0	2.667	46.772	18.37	0.019	26.14
6150.5	2.725	46.776	18.372	-0.015	26.706
6151.0	2.752	46.78	18.373	-0.03	26.965
6151.5	2.739	46.785	18.375	-0.023	26.841
6152.0	2.757	46.789	18.376	-0.034	27.019
6152.5	2.758	46.793	18.378	-0.034	27.024
6153.0	2.819	46.797	18.379	-0.07	27.624
6153.5	2.848	46.801	18.381	-0.087	27.907
6154.0	2.847	46.805	18.382	-0.087	27.904
6154.5	2.834	46.81	18.384	-0.079	27.776
6155.0	2.84	46.814	18.385	-0.083	27.836
6155.5	2.768	46.818	18.387	-0.04	27.131
6156.0	2.742	46.822	18.388	-0.025	26.874
6156.5	2.71	46.826	18.39	-0.006	26.561
6157.0	2.722	46.83	18.391	-0.013	26.672
6157.5	2.702	46.834	18.393	-0.001	26.476
6158.0	2.721	46.838	18.394	-0.012	26.667
6158.5	2.713	46.842	18.396	-0.008	26.586
6159.0	2.717	46.847	18.397	-0.01	26.625
6159.5	2.724	46.851	18.399	-0.014	26.7
6160.0	2.746	46.855	18.4	-0.027	26.907
6160.5	2.726	46.859	18.402	-0.015	26.715
