depthft	density_gcc	s_v	hydrostatic_pres	porosity	gradient
3757	2.014	17.68	11.222	0.404	19.737
3758	1.996	17.686	11.225	0.414	19.561
3759	1.956	17.691	11.228	0.438	19.169
3760	1.944	17.697	11.231	0.445	19.051
3761	1.972	17.703	11.234	0.428	19.326
3762	1.946	17.709	11.237	0.444	19.071
3763	1.938	17.715	11.24	0.448	18.992
3764	1.962	17.721	11.243	0.434	19.228
3765	1.967	17.726	11.246	0.431	19.277
3766	1.948	17.732	11.249	0.442	19.09
3767	1.94	17.738	11.252	0.447	19.012
3768	1.962	17.744	11.255	0.434	19.228
3769	1.98	17.75	11.258	0.424	19.404
3770	2.014	17.756	11.261	0.404	19.737
3771	2.052	17.762	11.264	0.381	20.11
3772	2.056	17.768	11.267	0.379	20.149
3773	2.042	17.774	11.27	0.387	20.012
3774	2.044	17.78	11.273	0.386	20.031
3775	2.052	17.786	11.276	0.381	20.11
3776	2.028	17.793	11.279	0.395	19.874
3777	2.055	17.799	11.282	0.379	20.139
3778	2.084	17.805	11.285	0.362	20.423
3779	2.102	17.811	11.288	0.352	20.6
3780	2.122	17.818	11.291	0.34	20.796
3781	2.172	17.824	11.294	0.311	21.286
3782	2.172	17.83	11.297	0.311	21.286
3783	2.166	17.837	11.3	0.314	21.227
3784	2.138	17.843	11.303	0.331	20.952
3785	2.134	17.85	11.306	0.333	20.913
3786	2.13	17.856	11.309	0.335	20.874
3787	2.114	17.862	11.312	0.345	20.717
3788	2.108	17.869	11.315	0.348	20.658
3789	2.076	17.875	11.318	0.367	20.345
3790	2.072	17.881	11.321	0.369	20.306
3791	2.09	17.887	11.324	0.359	20.482
3792	2.086	17.894	11.327	0.361	20.443
3793	2.108	17.9	11.33	0.348	20.658
3794	2.128	17.906	11.333	0.336	20.854
3795	2.146	17.913	11.336	0.326	21.031
3796	2.146	17.919	11.339	0.326	21.031
3797	2.116	17.925	11.342	0.344	20.737
3798	2.12	17.932	11.345	0.341	20.776
3799	2.118	17.938	11.348	0.342	20.756
3800	2.108	17.944	11.351	0.348	20.658
3801	2.118	17.951	11.354	0.342	20.756
3802	2.154	17.957	11.357	0.321	21.109
3803	2.168	17.964	11.36	0.313	21.246
3804	2.146	17.97	11.363	0.326	21.031
3805	2.156	17.976	11.366	0.32	21.129
3806	2.134	17.983	11.369	0.333	20.913
3807	2.136	17.989	11.372	0.332	20.933
3808	2.146	17.996	11.375	0.326	21.031
